E:\Descargas\TasaCambio.xlsx,Archivo,"FECHA","C?rdobas por USD",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41821","25.9556",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41822","25.9591",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41823","25.9625",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41824","25.966",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41825","25.9695",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41826","25.973",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41827","25.9764",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41828","25.9799",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41829","25.9834",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41830","25.9868",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41831","25.9903",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41832","25.9938",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41833","25.9973",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41834","26.0007",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41835","26.0042",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41836","26.0077",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41837","26.0112",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41838","26.0147",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41839","26.0181",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41840","26.0216",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41841","26.0251",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41842","26.0286",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41843","26.032",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41844","26.0355",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41845","26.039",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41846","26.0425",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41847","26.046",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41848","26.0495",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41849","26.0529",""
E:\Descargas\TasaCambio.xlsx,Archivo,"41850","26.0564",""
E:\Descargas\TasaCambio.xlsx,Archivo,"","",""
